Date : 2025-01-25 15:21:19
Directory : /home/amir/Project/ntsw_demo
Total : 288 files,  67629 codes, 2402 comments, 8481 blanks, all 78512 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| /home/amir/Project/ntsw_demo/order_registration/migrations/__init__.py                                                    | Python      |          0 |          0 |          1 |          1 |
| /home/amir/Project/ntsw_demo/order_registration/models.py                                                                 | Python      |        258 |         15 |         69 |        342 |
| /home/amir/Project/ntsw_demo/order_registration/tests.py                                                                  | Python      |          1 |          1 |          2 |          4 |
| /home/amir/Project/ntsw_demo/order_registration/views.py                                                                  | Python      |          1 |          1 |          2 |          4 |
| /home/amir/Project/ntsw_demo/overseas_supplier/__init__.py                                                                | Python      |          0 |          0 |          1 |          1 |
| /home/amir/Project/ntsw_demo/overseas_supplier/admin.py                                                                   | Python      |         20 |          0 |         13 |         33 |
| /home/amir/Project/ntsw_demo/overseas_supplier/apps.py                                                                    | Python      |          5 |          0 |          3 |          8 |
| /home/amir/Project/ntsw_demo/overseas_supplier/forms.py                                                                   | Python      |         49 |          0 |          8 |         57 |
| /home/amir/Project/ntsw_demo/overseas_supplier/migrations/0001_initial.py                                                 | Python      |         80 |          1 |          7 |         88 |
| /home/amir/Project/ntsw_demo/overseas_supplier/migrations/0002_rename_create_date_person_issue_date_and_more.py           | Python      |         19 |          1 |          6 |         26 |
| /home/amir/Project/ntsw_demo/overseas_supplier/migrations/0003_rename_sex_person_gender_alter_person_maried_and_more.py   | Python      |         24 |          1 |          6 |         31 |
| /home/amir/Project/ntsw_demo/overseas_supplier/migrations/0004_alter_person_birthday_alter_person_personal_image.py       | Python      |         17 |          1 |          6 |         24 |
| /home/amir/Project/ntsw_demo/overseas_supplier/migrations/0005_alter_person_identifier.py                                 | Python      |         14 |          1 |          6 |         21 |
| /home/amir/Project/ntsw_demo/overseas_supplier/migrations/0006_alter_company_created_at_alter_person_created_at.py        | Python      |         17 |          1 |          6 |         24 |
| /home/amir/Project/ntsw_demo/overseas_supplier/migrations/0007_companyownertype_companysubject_companytype_and_more.py    | Python      |         85 |          1 |          6 |         92 |
| /home/amir/Project/ntsw_demo/overseas_supplier/migrations/0008_alter_company_country_alter_company_owner_type_and_more.py | Python      |         24 |          1 |          6 |         31 |
| /home/amir/Project/ntsw_demo/overseas_supplier/migrations/__init__.py                                                     | Python      |          0 |          0 |          1 |          1 |
| /home/amir/Project/ntsw_demo/overseas_supplier/models.py                                                                  | Python      |        128 |          1 |         31 |        160 |
| /home/amir/Project/ntsw_demo/overseas_supplier/templates/overseas_supplier/list.html                                      | Django HTML |        169 |          0 |          7 |        176 |
| /home/amir/Project/ntsw_demo/overseas_supplier/templates/overseas_supplier/partials/company_form.html                     | Django HTML |        108 |          0 |          1 |        109 |
| /home/amir/Project/ntsw_demo/overseas_supplier/templates/overseas_supplier/partials/person_form.html                      | Django HTML |        138 |          0 |          1 |        139 |
| /home/amir/Project/ntsw_demo/overseas_supplier/tests.py                                                                   | Python      |          1 |          1 |          2 |          4 |
| /home/amir/Project/ntsw_demo/overseas_supplier/urls.py                                                                    | Python      |          8 |          0 |          3 |         11 |
| /home/amir/Project/ntsw_demo/overseas_supplier/views.py                                                                   | Python      |         61 |          0 |         14 |         75 |
| /home/amir/Project/ntsw_demo/product_identifier/__init__.py                                                               | Python      |          0 |          0 |          1 |          1 |
| /home/amir/Project/ntsw_demo/product_identifier/admin.py                                                                  | Python      |          1 |          1 |          2 |          4 |
| /home/amir/Project/ntsw_demo/product_identifier/apps.py                                                                   | Python      |          5 |          0 |          3 |          8 |
| /home/amir/Project/ntsw_demo/product_identifier/migrations/0001_initial.py                                                | Python      |         60 |          1 |          7 |         68 |
| /home/amir/Project/ntsw_demo/product_identifier/migrations/__init__.py                                                    | Python      |          0 |          0 |          1 |          1 |
| /home/amir/Project/ntsw_demo/product_identifier/models.py                                                                 | Python      |         47 |          5 |         15 |         67 |
| /home/amir/Project/ntsw_demo/product_identifier/tests.py                                                                  | Python      |          1 |          1 |          2 |          4 |
| /home/amir/Project/ntsw_demo/product_identifier/views.py                                                                  | Python      |          1 |          1 |          2 |          4 |
| /home/amir/Project/ntsw_demo/requirments.txt                                                                              | Django txt  |         12 |          0 |          1 |         13 |
| /home/amir/Project/ntsw_demo/requirments_dev.txt                                                                          | Django txt  |         12 |          0 |          1 |         13 |
| /home/amir/Project/ntsw_demo/sample/product_identifier/cpc.json                                                           | JSON        |          8 |          0 |          0 |          8 |
| /home/amir/Project/ntsw_demo/sample/product_identifier/gtin.json                                                          | JSON        |          8 |          0 |          0 |          8 |
| /home/amir/Project/ntsw_demo/sample/product_identifier/hs.json                                                            | JSON        |          8 |          0 |          0 |          8 |
| /home/amir/Project/ntsw_demo/sample/product_identifier/isic.json                                                          | JSON        |          8 |          0 |          0 |          8 |
| /home/amir/Project/ntsw_demo/sample/product_identifier/mandatory_descriptive_fields.json                                  | JSON        |         38 |          0 |          0 |         38 |
| /home/amir/Project/ntsw_demo/sample/product_identifier/optional_fields.json                                               | JSON        |         38 |          0 |          0 |         38 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/css/bootstrap-grid.css                                               | CSS         |      3,925 |          7 |        192 |      4,124 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/css/bootstrap-grid.min.css                                           | CSS         |          1 |          6 |          0 |          7 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/css/bootstrap-grid.rtl.css                                           | CSS         |      3,925 |          7 |        191 |      4,123 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/css/bootstrap-grid.rtl.min.css                                       | CSS         |          1 |          6 |          0 |          7 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/css/bootstrap-reboot.css                                             | CSS         |        409 |         15 |         64 |        488 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/css/bootstrap-reboot.min.css                                         | CSS         |          1 |          6 |          0 |          7 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/css/bootstrap-reboot.rtl.css                                         | CSS         |        415 |          7 |         63 |        485 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/css/bootstrap-reboot.rtl.min.css                                     | CSS         |          1 |          6 |          0 |          7 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/css/bootstrap-utilities.css                                          | CSS         |      3,898 |          9 |        359 |      4,266 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/css/bootstrap-utilities.min.css                                      | CSS         |          1 |          6 |          0 |          7 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/css/bootstrap-utilities.rtl.css                                      | CSS         |      3,894 |          7 |        356 |      4,257 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/css/bootstrap-utilities.rtl.min.css                                  | CSS         |          1 |          6 |          0 |          7 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/css/bootstrap.css                                                    | CSS         |     10,102 |         33 |        743 |     10,878 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/css/bootstrap.min.css                                                | CSS         |          2 |          5 |          0 |          7 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/css/bootstrap.rtl.css                                                | CSS         |     10,104 |          7 |        731 |     10,842 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/css/bootstrap.rtl.min.css                                            | CSS         |          2 |          5 |          0 |          7 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/js/bootstrap.bundle.js                                               | JavaScript  |      5,047 |        535 |      1,494 |      7,076 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/js/bootstrap.bundle.min.js                                           | JavaScript  |          1 |          6 |          0 |          7 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/js/bootstrap.esm.js                                                  | JavaScript  |      3,550 |        458 |      1,195 |      5,203 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/js/bootstrap.esm.min.js                                              | JavaScript  |          1 |          6 |          0 |          7 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/js/bootstrap.js                                                      | JavaScript  |      3,587 |        464 |      1,199 |      5,250 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/js/bootstrap.min.js                                                  | JavaScript  |          1 |          6 |          0 |          7 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/css/bootstrap-datepicker.css                                    | CSS         |        470 |          6 |          1 |        477 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/css/bootstrap-datepicker.min.css                                | CSS         |          1 |          5 |          1 |          7 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/css/bootstrap-datepicker.standalone.css                         | CSS         |        503 |          6 |          1 |        510 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/css/bootstrap-datepicker.standalone.min.css                     | CSS         |          1 |          5 |          1 |          7 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/css/bootstrap-datepicker3.css                                   | CSS         |        676 |          6 |          1 |        683 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/css/bootstrap-datepicker3.min.css                               | CSS         |          1 |          5 |          1 |          7 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/css/bootstrap-datepicker3.standalone.css                        | CSS         |        705 |          6 |          1 |        712 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/css/bootstrap-datepicker3.standalone.min.css                    | CSS         |          1 |          5 |          1 |          7 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/js/bootstrap-datepicker.js                                      | JavaScript  |      1,770 |         90 |        180 |      2,040 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/js/bootstrap-datepicker.min.js                                  | JavaScript  |          2 |          5 |          1 |          8 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker-en-CA.min.js                       | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.ar-tn.min.js                       | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.ar.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.az.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.bg.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.bm.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.bn.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.br.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.bs.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.ca.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.cs.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.cy.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.da.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.de.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.el.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.en-AU.min.js                       | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.en-CA.min.js                       | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.en-GB.min.js                       | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.en-IE.min.js                       | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.en-NZ.min.js                       | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.en-ZA.min.js                       | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.eo.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.es.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.et.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.eu.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.fa.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.fi.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.fo.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.fr-CH.min.js                       | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.fr.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.gl.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.he.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.hi.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.hr.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.hu.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.hy.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.id.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.is.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.it-CH.min.js                       | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.it.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.ja.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.ka.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.kh.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.kk.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.km.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.ko.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.kr.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.lt.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.lv.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.me.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.mk.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.mn.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.ms.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
